"context_name","dominio","issn","record_count_2023","record_count_2022","record_count_2021","record_count_2020","total_historico","activa"
"Revista Temas Sociológicos","ediciones.ucsh.cl","0719-644X;0719-6458",49,36,20,44,362,TRUE
"Revista Inclusiones","revistainclusiones.org","0719-4706",47,125,636,849,2671,TRUE
"Revista de Filosofía UCSC","revistas.ucsc.cl","0717-7801;2735-6353",47,17,11,8,123,TRUE
"RAN - Revista Academia & Negocios","revistas.udec.cl","0719-6245;0719-7713",46,21,8,62,171,TRUE
"Open Herald: Periodical of Methodical Research","academiaone.org","2810-6385",46,0,0,0,149,TRUE
"Observatorio Económico","www.observatorioeconomico.cl","0719-9597",42,47,36,44,554,TRUE
"Revista de la Construcción. Journal of Construction","revistadelaconstruccion.uc.cl","0718-915X",42,52,43,56,459,TRUE
"Revista Chilena de Salud Pública","revistasaludpublica.uchile.cl","0717-3652;0719-5281",41,28,35,37,699,TRUE
"Intus - Legere Historia","intushistoria.uai.cl","0718-5456;0719-8949",41,37,23,37,396,TRUE
"Psykhe","ojs.uc.cl","0718-2228",41,33,44,16,872,TRUE
"REVISTA CUHSO","cuhso.uct.cl","2452-610X",40,214,89,0,910,TRUE
"Wire Insights: Journal of Innovation Insights","academiaone.org","2810-6458",40,0,0,0,69,TRUE
"Acta Bioethica","actabioethica.uchile.cl","0717-5906;1726-569X",39,40,39,35,859,TRUE
"Historia 396","historia396.cl","Sin ISSN",39,38,30,29,315,TRUE
"Cuadernos de Historia","cuadernosdehistoria.uchile.cl","0716-1832;0719-1243",39,40,44,37,713,TRUE
"Neumología Pediátrica","www.neumologia-pediatrica.cl","0718-333X",39,41,172,48,372,TRUE
"Universum (Talca. En línea)","universum.utalca.cl","0716-498X;0718-2376",39,39,67,25,193,TRUE
"Revista nuestrAmérica","nuestramerica.cl","0719-3092",39,54,77,21,327,TRUE
"Atenea","revistas.udec.cl","0716-1840;0718-0462",38,18,48,45,6272,TRUE
"Ciencia y Enfermería","revistas.udec.cl","0717-9553",38,40,50,25,751,TRUE
"Lenguas Modernas","lenguasmodernas.uchile.cl","0716-0542;0719-5443",38,8,28,18,664,TRUE
"Revista Chilena de Enfermedades Respiratorias","revchilenfermrespir.cl","0716-2065;0717-7348",38,35,42,48,791,TRUE
"Sur y Tiempo: Revista de Historia de América","revistas.uv.cl","2452-574X",38,6,16,20,104,TRUE
"Taller de Letras","tallerdeletras.letras.uc.cl","2735-6825",38,35,32,65,432,TRUE
"Journal of Technology Management & Innovation","www.jotmi.org","0718-2724",37,36,45,28,960,TRUE
"Revista Avante de Ciencias Sociales y Humanidades","revista-avante.com","0719-9740",37,30,6,6,80,TRUE
"Espacio Regional. Revista de Estudios Sociales","revistas.ulagos.cl","0718-1604;2735-6175",37,0,144,24,237,TRUE
"Revista Chilena de Derecho","revistachilenadederecho.uc.cl","0716-0747",37,37,65,95,2032,TRUE
"Revista Musical Chilena","revistamusicalchilena.uchile.cl","0716-2790;0717-6252",36,39,44,40,4541,TRUE
"Chungara Revista de Antropología Chilena","www.chungara.cl","0717-7356",36,42,58,7,162,TRUE
"Meridional. Revista Chilena de Estudios Latinoamericanos","revistas.uchile.cl","0719-3734;0719-4862",35,25,36,31,323,TRUE
"Revista INVI","revistainvi.uchile.cl","0718-1299;0718-8358",35,35,39,24,789,TRUE
"Teatro","revistateatro.uchile.cl","0719-6482;0719-6490",35,32,0,0,127,TRUE
"Teología y Vida","teologiayvida.uc.cl","0049-3449;0717-6295",35,32,28,46,465,TRUE
"Revista Ingeniería de Construcción","revistaingenieriaconstruccion.uc.cl","0718-5073",35,34,29,47,675,TRUE
"ARS MEDICA Revista de Ciencias Médicas","www.arsmedica.cl","0718-1051;0719-1855",34,55,53,46,1574,TRUE
"Revista de Derecho (Valdivia)","revistaderechovaldivia.cl","0716-9132;0718-0950",34,39,38,39,954,TRUE
"Journal of Latin American Studies on Disaster Risk Reduction REDER","www.revistareder.com","0719-8477",33,22,22,20,167,TRUE
"Revista de Humanidades de Valparaíso","revistas.uv.cl","0719-4234;0719-4242",33,51,29,4,264,TRUE
"Revista de Derecho Administrativo","redae.uc.cl","0717-4888;0719-5591",33,27,31,154,584,TRUE
"Revista Chilena de Derecho y Tecnología","rchdt.uchile.cl","0719-2576;0719-2584",32,15,27,21,215,TRUE
"Estudios Avanzados","www.revistas.usach.cl","0718-5014",32,9,18,12,336,TRUE
"Boletín de la Sociedad Chilena de Arqueología","boletin.scha.cl","0716-5730;2735-7651",32,42,59,7,731,TRUE
"Revista Hospital Clínico Universidad de Chile","revistahospitalclinico.uchile.cl","0716-7849;2735-7996",32,25,30,25,511,TRUE
"Polis (Santiago)","revistas.ulagos.cl","0717-6554;0718-6568",32,33,37,43,1248,TRUE
"Biologia Pesquera","revistas.ucsc.cl","0067-8767",32,0,0,0,157,TRUE
"Revueltas. Revista chilena de Historia Social Popular","revistarevueltas.cl","2452-5707",31,20,19,15,100,TRUE
"Revista de Historia Social y de las Mentalidades","www.revistas.usach.cl","0719-4749",31,22,21,15,481,TRUE
"Revista de Filosofía","revistafilosofia.uchile.cl","0034-8236;0718-4360",31,17,28,25,1155,TRUE
"Revista de humanidades (Santiago. En línea)","revistahumanidades.unab.cl","0717-0491;2452-445X",31,46,13,32,511,TRUE
"Revista de Ciencias Sociales","revistas.uv.cl","0716-7725;0719-8442",30,9,19,22,210,TRUE
"CUBO, A Mathematical Journal","cubo.ufro.cl","0716-7776;0719-0646",30,30,30,30,799,TRUE
"Comunicación y Medios","comunicacionymedios.uchile.cl","0716-3991;0719-1529",29,30,41,32,756,TRUE
"Revista Punto Género","revistapuntogenero.uchile.cl","0719-0417;2735-7473",29,23,32,14,225,TRUE
"Revista Pedagogía Universitaria y Didáctica del Derecho","pedagogiaderecho.uchile.cl","0719-5885",29,29,32,28,234,TRUE
"Revista Bits de Ciencia","revistasdex.uchile.cl","Sin ISSN",29,0,280,0,309,TRUE
"Palabra y Razón","revistapyr.ucm.cl","0719-2223;2452-4646",29,18,8,14,166,TRUE
"Revista Jurídica Digital UANDES","rjd.uandes.cl","0719-7942",28,18,24,15,152,TRUE
"Revista de Estudiantes de Terapia Ocupacional","www.reto.ubo.cl","0719-8264",28,6,24,14,127,TRUE
"Revista de Estudios Tributarios","revistaestudiostributarios.uchile.cl","0718-9478;0719-7527",28,19,27,10,338,TRUE
"Ergonomía, Investigación y Desarrollo","revistas.udec.cl","2452-4859",27,33,35,33,177,TRUE
"Estudios Filológicos","revistas.uach.cl","0071-1713;0717-6171",27,27,32,40,660,TRUE
"Revista Austral de Ciencias Sociales","revistas.uach.cl","0717-3202;0718-1795",27,33,26,31,554,TRUE
"Estado, Gobierno y Gestión Pública","revistaeggp.uchile.cl","0717-6759;0717-8980",26,6,21,12,212,TRUE
"Austral Journal of Veterinary Sciences","www.ajvs.cl","0719-8000;0719-8132",26,21,126,3,195,TRUE
"Revista Perspectivas: Notas sobre intervención y acción social","ediciones.ucsh.cl","0717-1714",26,16,36,19,385,TRUE
"HYBRIS, Revista de Filosofí­a","coloquio2019.cenaltes.cl","0718-8382",26,29,35,39,329,TRUE
"Revista de Arquitectura","dearquitectura.uchile.cl","0716-8772;0719-5427",25,28,28,10,598,TRUE
"Revista de Derecho Universidad de Concepción","revistas.udec.cl","0303-9986;0718-591X",25,23,31,24,179,TRUE
"LÍMITE Revista Interdisciplinaria de Filosofía y Psicología","revistalimite.uta.cl","0718-1361;0718-5065",25,18,18,25,222,TRUE
"Perfiles Económicos","revistas.uv.cl","0719-7586",25,5,26,11,126,TRUE
"Pensamiento Educativo","pensamientoeducativo.uc.cl","0719-0409",25,24,24,30,746,TRUE
"Limes: Revista de Estudios Clásicos","revistas.umce.cl","0716-5919",25,0,0,0,25,TRUE
"Aporía · Revista Internacional de Investigaciones Filosóficas","revistadelaconstruccion.uc.cl","0718-9788;0719-9589",25,9,24,15,129,TRUE
"Revista Actos","revistas.academia.cl","2452-4727",24,23,18,19,106,TRUE
"Revista Chilena de Terapia Ocupacional","revistaterapiaocupacional.uchile.cl","0717-6767;0719-5346",24,30,32,34,471,TRUE
"Revista de Sociología","revistadesociologia.uchile.cl","0716-632X;0719-529X",24,16,16,14,432,TRUE
"Gayana","gayana.cl","0717-652X;0717-6538",24,12,14,20,135,TRUE
"Revista de Estudios Históricos","revistasdex.uchile.cl","Sin ISSN",24,0,0,0,24,TRUE
"Revista Reflexión e Investigación Educacional","revistas.ubiobio.cl","2452-4638",23,11,10,22,124,TRUE
"Anuario de Derechos Humanos","anuariocdh.uchile.cl","0718-2058;0718-2279",23,28,34,46,445,TRUE
"Propuestas Críticas en Trabajo Social-Critical Proposals in Social Work","revistapropuestascriticas.uchile.cl","2735-6620",23,27,28,0,90,TRUE
"Revista Ciencias de la Actividad Física UCM","revistacaf.ucm.cl","0717-408X;0719-4013",23,32,21,16,313,TRUE
"Revista de Biología Marina y Oceanografía","revistas.uv.cl","0717-3326;0718-1957",23,53,38,32,276,TRUE
"Resonancias. Revista de Filosofía","resonancias.uchile.cl","0719-790X",22,10,23,26,136,TRUE
"Última Década","ultimadecada.uchile.cl","0717-4691;0718-2236",22,23,27,399,557,TRUE
"Revista Política y Estrategia","www.politicayestrategia.cl","0716-7415;0719-8027",22,17,14,7,236,TRUE
"Márgenes. Espacio Arte y Sociedad","rhv.uv.cl","0718-4034;0719-4463",22,34,24,0,190,TRUE
"Revista stultifera","revistas.uach.cl","0719-983X",22,24,19,20,137,TRUE
"Revista de Derecho Aplicado LLM UC","ojs.uc.cl","2452-4344",22,7,13,15,94,TRUE
"Revista de Geografía Norte Grande","revistanortegrande.uc.cl","0379-8682;0718-3402",22,70,533,96,1098,TRUE
"Revista Planeo","revistadelaconstruccion.uc.cl","0719-2932",22,0,5,0,39,TRUE
"Revista Latinoamericana de Derecho y Religión","revistalatderechoyreligion.uc.cl","0719-7160",22,31,14,20,196,TRUE
"Revista Gestión de las Personas y Tecnología","www.revistas.usach.cl","0718-5693",21,21,21,21,358,TRUE
"Cuadernos Judaicos","cuadernosjudaicos.uchile.cl","0717-4357;0718-8749",21,12,17,29,340,TRUE
"International Journal of Medical and Surgical Sciences","revistas.uautonoma.cl","0719-3904;0719-532X",21,27,48,44,396,TRUE
"Revista Enfoques Educacionales","enfoqueseducacionales.uchile.cl","0717-3229;2735-7279",21,15,25,21,310,TRUE
"MAD","revistamad.uchile.cl","0718-0527",21,5,11,17,358,TRUE
"Amoxtli","revistas.uft.cl","0719-997X",21,6,7,13,76,TRUE
"Diseña","www.revistadisena.uc.cl","0718-8447;2452-4298",21,19,18,19,176,TRUE
"Revista Ethika+","revistaethika.uchile.cl","2452-6037",20,35,32,25,120,TRUE
"Hábitat Sustentable","revistas.ubiobio.cl","0719-0700",20,20,17,20,219,TRUE
"Revista Liminales. Escritos sobre Psicología y Sociedad","revistafacso.ucentral.cl","0718-4166;0719-7748",20,19,19,13,203,TRUE
"Rumbos TS. Un espacio crítico para la reflexión en Ciencias Sociales","revistafacso.ucentral.cl","0718-4182;0719-7721",20,24,29,31,337,TRUE
"Revista de derecho (Coquimbo)","revistaderecho.ucn.cl","0718-9753",20,24,22,24,743,TRUE
"Revista Chilena de Fonoaudiología","revfono.uchile.cl","0717-4659;0719-4692",20,29,14,15,231,TRUE
"Historia Agraria de América Latina","haal.cl","2452-5162",20,81,0,0,114,TRUE
"Arboles y Rizomas","www.revistas.usach.cl","0719-9805",20,21,19,20,111,TRUE
"Acta Literaria","revistas.udec.cl","0716-0909;0717-6848",20,20,17,40,451,TRUE
"Revista de Urbanismo","revistaurbanismo.uchile.cl","0717-5051",20,22,23,21,466,TRUE
"Revista Geográfica de Chile Terra Australis","www.revistaterraaustralis.cl","0378-8482;0719-9562",20,11,21,11,90,TRUE
"Revista Historia y Patrimonio","rhp.uchile.cl","2810-6245",20,11,0,0,42,TRUE
"Revista Científica Cuadernos de Investigación","cuadernosdeinvestigacion.unach.cl","2810-6210",20,0,0,0,35,TRUE
"Urbano","revistas.ubiobio.cl","0717-3997;0718-3607",19,21,22,23,637,TRUE
"Castalia - Revista de Psicología de la Academia","revistas.academia.cl","0719-8051",19,17,19,19,150,TRUE
"Revista Chilena de Enfermería","revistachilenaenfermeria.uchile.cl","2452-5839",19,14,15,6,73,TRUE
"Byzantion Nea Hellás","byzantion.uchile.cl","0716-2138;0718-8471",19,22,19,27,668,TRUE
"Obras y Proyectos","revistas.ucsc.cl","0718-2805;0718-2813",19,30,8,16,109,TRUE
"Revista de Derecho de la Universidad Católica de la Santísima Concepción","revistas.ucsc.cl","0717-0599;2735-6337",19,18,19,6,108,TRUE
"ANALES DE ARQUITECTURA UC","analesdearquitectura.uc.cl","2810-6075;2810-6490",19,20,23,23,136,TRUE
"Antropologías del Sur","revistas.academia.cl","0719-4498;0719-5532",18,22,22,27,246,TRUE
"Derecho Público Iberoamericano","revistas.udd.cl","0719-2959;0719-5354",18,20,22,99,270,TRUE
"RChD: creación y pensamiento","rchd.uchile.cl","0719-837X;0719-8426",18,18,18,17,214,TRUE
"Palimpsesto","www.revistas.usach.cl","0718-5898",18,18,23,20,181,TRUE
"Terapia Psicológica","teps.cl","0716-6184;0718-4808",18,25,17,25,363,TRUE
"URBE. Arquitectura, Ciudad y Territorio","revistas.udec.cl","2735-606X;2735-6078",18,19,17,13,67,TRUE
"Revista Estudios de Políticas Públicas","revistaestudiospoliticaspublicas.uchile.cl","0719-6296",18,26,17,17,224,TRUE
"Cuadernos Chilenos de Historia de la Educación","historiadelaeducacion.cl","0719-3483;2810-627X",18,1,20,9,200,TRUE
"Revista de Educación Religiosa","revistas.uft.cl","2452-5936",17,17,24,23,112,TRUE
"Investigaciones Geográficas: Una mirada desde el sur","investigacionesgeograficas.uchile.cl","0718-9575;0719-5370",17,16,17,19,360,TRUE
"Estudios Internacionales","revistaei.uchile.cl","0716-0240;0719-3769",17,16,27,14,1608,TRUE
"Revista Estudios en Educación","ojs.umc.cl","2452-4980",17,21,22,35,142,TRUE
"Política. Revista de Ciencia Política","revistapolitica.uchile.cl","0716-1077;0719-5338",17,18,20,19,763,TRUE
"Revista de Derecho Económico","revistaderechoeconomico.uchile.cl","0716-310X;0719-7462",17,12,14,0,427,TRUE
"A.Dnz","adnz.uchile.cl","0719-4676",17,0,16,0,145,TRUE
"Transformar","revistatransformar.cl","2735-6302",17,14,17,4,68,TRUE
"Agro sur","revistas.uach.cl","0304-8802;0719-4196",17,12,13,15,586,TRUE
"Revista Electrónica Diálogos Educativos. REDE","revistas.umce.cl","0718-1310",17,3,0,0,299,TRUE
"Revista Realidad Educativa","revistas.uft.cl","2452-6134",16,13,7,0,51,TRUE
"Praxispsi","praxispsi.udp.cl","2735-6957",16,16,9,16,161,TRUE
"Journal of Movement & Health","jmh.ucv.cl","2452-5812",16,16,8,15,157,TRUE
"Tiempo Histórico","revistas.academia.cl","0718-7432;0719-5699",16,28,17,17,280,TRUE
"Revista Chilena de Antropología","revistas.uchile.cl","0716-3312;0719-1472",16,8,19,18,457,TRUE
"Revista Justicia & Derecho","revistas.uautonoma.cl","0719-9392",16,15,27,24,126,TRUE
"Revista de Psicología","revistapsicologia.uchile.cl","0716-8039;0719-0581",16,19,25,15,598,TRUE
"TS Cuadernos de Trabajo Social","www.tscuadernosdetrabajosocial.cl","0719-6520",16,12,16,12,183,TRUE
"Revista de Teoría del Arte","revistateoriadelarte.uchile.cl","0719-7276",16,6,9,0,406,TRUE
"Revista de Estudios de la Justicia","rej.uchile.cl","0718-0853;0718-4735",16,13,12,12,313,TRUE
"Revista Saberes Educativos","sabereseducativos.uchile.cl","2452-5014",16,14,25,11,129,TRUE
"Cultura y Religión","revistaculturayreligion.cl","0718-4727;0718-5472",16,26,23,26,391,TRUE
"Persona y Sociedad","personaysociedad.uahurtado.cl","0716-730X;0719-0883",16,10,12,17,310,TRUE
"Encrucijada Americana","encrucijadaamericana.uahurtado.cl","0718-5766;0719-3432",16,16,17,10,216,TRUE
"Rompefilas","rompefilas.cl","0716-7598",16,6,15,0,37,TRUE
"Revista Educación Las Américas","revistas.udla.cl","0719-7128",16,7,10,23,122,TRUE
"Cinta de Moebio. Revista de Epistemología de Ciencias Sociales","cintademoebio.uchile.cl","0717-554X",16,15,17,31,572,TRUE
"Gobierno y Administración Pública","revistas.udec.cl","2735-7074",16,18,7,0,59,TRUE
"Revista Chilena de Rehabilitación y Actividad Física","revistas.uautonoma.cl","2735-7287",16,14,4,0,41,TRUE
"Revista de Innovación en Enseñanza de las Ciencias","reinnec.cl","0719-9007",16,0,16,23,125,TRUE
"Foro Educacional","ediciones.ucsh.cl","0717-2710;0718-0772",16,16,13,17,219,TRUE
"Hermenéutica Intercultural","ediciones.ucsh.cl","0718-4980;0719-6504",16,17,17,26,239,TRUE
"Revista Sul-Americana de Psicologia","ediciones.ucsh.cl","2318-650X",16,13,24,9,200,TRUE
"Latin American Legal Studies","lals.uai.cl","0719-9104;0719-9112",16,14,27,8,102,TRUE
"Revista INTEREDU","revistas.ulagos.cl","2735-6523",16,19,32,49,129,TRUE
"Revista de Trabajo Social","revistatrabajosocial.uc.cl","2735-7228",16,19,13,132,503,TRUE
"ARQUITECTURAS DEL SUR","revistas.ubiobio.cl","0716-2677;0719-6466",15,17,15,19,560,TRUE
"Revista de la Academia","revistas.academia.cl","0719-6318",15,14,22,16,160,TRUE
"Estudios Constitucionales","www.estudiosconstitucionales.cl","0718-0195;0718-5200",15,46,26,17,501,TRUE
"Gayana Botanica","gayanabotanica.cl","0016-5301;0717-6643",15,16,22,16,183,TRUE
"Pléyade","revistapleyade.cl","0718-655X;0719-3696",15,11,48,24,363,TRUE
"AUS [Arquitectura / Urbanismo / Sustentabilidad]","revistas.uach.cl","0718-204X;0718-7262",15,28,29,26,429,TRUE
"Littera Scripta","litterascripta.unab.cl","2735-6140",15,15,15,5,58,TRUE
"Revista de Derecho Ambiental","revistas.uchile.cl","0718-0101;0719-4633",14,21,18,18,207,TRUE
"Mutatis Mutandis: Revista Internacional de Filosofía","revistamutatismutandis.com","0719-4773",14,31,22,36,263,TRUE
"Revista Electrónica de Investigación en Docencia Universitaria","reidu.cl","2452-4875",14,5,15,16,68,TRUE
"Revista Sophia Austral","www.sophiaaustral.cl","0719-5605",14,16,21,33,196,TRUE
"Revista Central de Sociología","www.centraldesociologia.cl","0718-4379;2735-7058",14,27,0,18,137,TRUE
"Revista Notas Históricas y Geográficas","revistanotashistoricasygeograficas.cl","0719-4404",14,38,338,1,420,TRUE
"Si Somos Americanos","sisomosamericanos.cl","0718-2910;0719-0948",14,18,17,20,384,TRUE
"Revista Educación Física Chile","revistas.umce.cl","0716-0518;0719-1723",14,57,6,0,87,TRUE
"Materia Arquitectura","materiaarquitectura.com","0718-7033;2735-7503",14,22,83,19,489,TRUE
"Revista Protesta y Carisma","revistaprotestaycarisma.cl","2452-5308",14,22,25,0,61,TRUE
"Convergencia Educativa","revistaucmaule.ucm.cl","0719-3351",14,12,11,11,104,TRUE
"Revista ProPulsión Interdisciplina en Ciencias Sociales y Humanidades","ojs.revpropulsion.cl","2452-5758",14,19,16,8,70,TRUE
"Revista Matronería Actual","revistas.uv.cl","2452-5820",14,33,11,7,76,TRUE
"Revista de Historia y Geografía","ediciones.ucsh.cl","0719-4137;0719-4145",14,14,18,20,207,TRUE
"Inmanere","revistas.ucsc.cl","2735-7961;2735-797X",14,6,0,0,26,TRUE
"Revista de Ciencias Sociales","revistacienciasociales.cl","0717-2257;0718-3631",14,14,12,15,157,TRUE
"Dorsal. Revista de Estudios Foucaultianos","coloquio2019.cenaltes.cl","0719-7519",14,27,23,32,190,TRUE
"Revista de Pensamiento Crítico Aymara","www.pensamientocriticoaymara.com","2707-692X;2707-6938",14,22,15,13,75,TRUE
"Latin American Journal of Trade Policy","lajtp.uchile.cl","0719-9368",13,14,13,25,89,TRUE
"Tiempo y Espacio","revistas.ubiobio.cl","0716-9671;0719-0867",13,8,19,8,371,TRUE
"Revista Chilena de Derecho del Trabajo y de la Seguridad Social","revistatrabajo.uchile.cl","0719-0093;0719-7551",13,15,15,18,350,TRUE
"Ciencia & Investigación Forestal","revista.infor.cl","0718-4530;0718-4646",13,17,39,18,590,TRUE
"UCMaule","revistaucmaule.ucm.cl","0717-2656;0719-9872",13,14,14,14,121,TRUE
"Cuadernos de Beauchef","revistasdex.uchile.cl","2452-493X",13,36,60,0,128,TRUE
"Filosofía Juridica","anuario.filosofiajuridica.cl","Sin ISSN",13,6,34,0,60,TRUE
"Acta Entomológica Chilena","revistas.umce.cl","0716-5072",13,236,0,0,249,TRUE
"En las Fronteras del Derecho","fdd.ufro.cl","2735-7236",13,15,0,0,36,TRUE
"Veritas","revistatrabajosocial.uc.cl","0717-4675;0718-9273",13,6,34,11,474,TRUE
"Revista F@ro","revistas.upla.cl","0718-2023;0718-4018",13,182,17,7,396,TRUE
"Textos Híbridos","textoshibridos.uai.cl","2157-0159",13,17,27,13,148,TRUE
"Anales del Instituto de la Patagonia -- ISSN 0718-686X","www.analesdelinstitutodelapatagonia.cl","0718-686X",12,18,39,20,458,TRUE
"Revista de Derecho Público","revistaderechopublico.uchile.cl","0716-0267;0719-5249",12,17,12,14,1360,TRUE
"European Journal of Education and Psychology","revistas.uautonoma.cl","1888-8992;1989-2209",12,19,14,8,227,TRUE
"Átemus","revistaatemus.uchile.cl","0719-885X",12,14,18,19,142,TRUE
"Cuadernos de Teoría Social","cuadernosdeteoriasocial.udp.cl","0719-6415;0719-6423",12,17,5,18,126,TRUE
"Estudios de Economía","estudiosdeeconomia.uchile.cl","0304-2758;0718-5286",12,9,8,10,616,TRUE
"Inferencias: Boletín de Bioestadística","revistasdex.uchile.cl","Sin ISSN",12,20,10,0,57,TRUE
"Benessere. Revista de Enfermería","revistas.uv.cl","0719-7764",12,9,13,9,72,TRUE
"Archivos de la Sociedad Chilena de Medicina del Deporte","revistasochmedep.cl","0719-7322",12,5,7,5,69,TRUE
"Revista de Derecho y Ciencias Sociales","rduss.cl","0718-302X",12,20,0,0,59,TRUE
"Nueva Revista del Pacífico","revistas.upla.cl","0719-5176",12,23,39,32,208,TRUE
"Horizontes Empresariales","revistas.ubiobio.cl","0717-9901;0719-0875",11,17,5,11,218,TRUE
"Revista Tribuna Internacional","tribunainternacional.uchile.cl","0719-210X;0719-482X",11,6,13,19,205,TRUE
"Contextos: Estudios de Humanidades y Ciencias Sociales","revistas.umce.cl","0717-7828;0719-1014",11,25,20,42,804,TRUE
"Estudios de Transporte","estudiosdetransporte.org","2735-6299",11,6,11,0,143,TRUE
"Revista de Gestión Pública","revistas.uv.cl","0719-1820;0719-1839",11,10,14,100,140,TRUE
"Revista de Orientación Educacional","www.roeupla.cl","0716-5714;0719-5117",11,13,10,6,118,TRUE
"Nutrición y Vida","revistasdex.uchile.cl","Sin ISSN",11,0,0,0,11,TRUE
"Revista Enfoques: Ciencia Política y Administración Pública","www.revistaenfoques.cl","0718-9656",11,8,8,13,345,TRUE
"Revista Chilena de Estudios Medievales","revistas.ugm.cl","0719-2215;0719-689X",10,23,23,32,223,TRUE
"Summa Psicológica","summapsicologica.cl","0718-0446;0719-448X",10,11,14,14,329,TRUE
"Economía y Política","www.economiaypolitica.cl","0719-4714;0719-4803",10,9,7,8,85,TRUE
"Cuadernos de Filosofía","revistas.udec.cl","0716-9884",10,30,24,38,135,TRUE
"Applied Sciences in Dentistry","revistas.uv.cl","0719-5761",10,11,43,38,106,TRUE
"Trenzar. Revista de Educación Popular, Pedagogía Crítica e Investigación Militante (ISSN 2452-4301)","revistatrenzar.cl","2452-4301",10,0,0,0,51,TRUE
