nombre_revista,issn_original,is_in_crossref,total_dois,current_dois,backfile_dois,abstracts_current,licenses_current,orcids_current,affiliations_current,references_current,display_name,works_count,cited_by_count,h_index,i10_index,is_oa,is_in_doaj,apc_usd,total_errores,porcentaje_resumenes,porcentaje_palabras_clave,porcentaje_referencias,porcentaje_afiliaciones,calidad_dialnet_score,completitud_metadatos_dialnet,visibilidad_openalex,densidad_doi,modernizacion_crossref,madurez_editorial,brecha_visibilidad,coherencia_resumenes,potencial_indexacion,acceso_abierto_integral,nivel1_completitud,nivel1_coherencia,eficiencia_apc,nivel2_visibilidad,nivel3_madurez,oportunidad_mejora,segmento,potencial_combinado
0718-5030;2810-6962,0718-5030;2810-6962,False,0,0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,False,False,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,0.0,0.0,0.0,0.0,0.0,0.12989473684210529,0.0,0.0,32.732894736842105,0.12989473684210529,0.0,0.0,0.0,0.0,Básico,10.910964912280702
REVISTA CHILENA DE ENTOMOLOGÍA,0034-740X;0718-8994,True,571,218,353,0.9403669724770642,0.0,0.0,0.0,0.0,REVISTA CHILENA DE ENTOMOLOGÍA,673.0,929.0,11.0,12.0,True,True,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,1.3803863298662704,0.38178633975481613,0.31345565749235477,0.035215781478802645,-0.1786339754816112,0.9297382906808305,0.146072465126721,0.7,32.88962256558828,0.9297382906808305,0.0,1.040193164933135,0.2085010606168094,0.146072465126721,Veterana,11.37943893037941
Proyecciones (Antofagasta),0717-6279,True,1519,302,1217,0.956953642384106,0.956953642384106,0.2649006622516556,0.0,0.1026490066225166,Proyecciones (Antofagasta),1516.0,3308.0,21.0,79.0,True,False,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,2.1820580474934035,0.1988150098749177,0.7262693156732891,0.042629792689619056,0.0019749835418038184,0.9131516207737888,0.28733248503426895,0.6870860927152318,33.09602939467875,0.9131516207737888,0.0,1.4345720701043176,0.12072240128226838,0.28733248503426895,Básico,11.550441288688445
2810-6377,2810-6377,False,0,0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,False,False,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,0.0,0.0,0.0,0.0,0.0,0.12989473684210529,0.0,0.0,32.732894736842105,0.12989473684210529,0.0,0.0,0.0,0.0,Básico,10.910964912280702
Horizonte de enfermeria,0719-6946,True,141,0,141,0.0,0.0,0.0,0.0,0.0,Horizonte de enfermeria,566.0,398.0,7.0,2.0,True,False,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,0.7031802120141343,0.0,0.0,0.029734962345607564,-3.0141843971631204,0.12989473684210529,0.031949832984441755,0.4,32.732894736842105,0.12989473684210529,0.0,0.5515901060070671,0.014867481172803782,0.031949832984441755,Básico,11.099784108007327
Anales de Literatura Chilena,0717-6058,True,125,123,2,1.0,1.0,0.016260162601626,0.0,0.0,Anales de Literatura Chilena,125.0,5.0,1.0,0.0,True,True,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,0.04,0.984,0.6720867208672087,0.006591673732008657,0.0,0.8701052631578947,0.20397925904935946,1.0,33.06893809727571,0.8701052631578947,0.0,0.52,0.4952958368660043,0.20397925904935946,Veterana,11.361411311380573
Estudios Públicos,0716-1115;0718-3089,True,965,178,787,1.0,0.0,0.1741573033707865,0.0,0.0,Estudios Públicos,1271.0,2695.0,22.0,70.0,True,False,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,2.1203776553894573,0.1844559585492228,0.39138576779026213,0.04001698853914728,-0.3170984455958549,0.8701052631578947,0.18569297261049583,0.4,32.92858762073724,0.8701052631578947,0.0,1.2601888276947286,0.11223647354418505,0.18569297261049583,Problema,11.43367097399205
Onomázein Revista de lingüística filología y traducción,0718-5758,True,154,38,116,1.0,1.0,0.0,0.0,0.0,ONOMAZEIN,253.0,635.0,11.0,18.0,True,False,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,2.5098814229249014,0.24675324675324675,0.6666666666666666,0.028573043608786538,-0.6428571428571429,0.8701052631578947,0.27533493525587893,0.7,33.06622807017544,0.8701052631578947,0.0,1.6049407114624508,0.13766314518101663,0.27533493525587893,Problema,11.602943975606301
CUADERNOS DE ARTE,0717-2672,True,22,22,0,1.0,0.0,0.0,0.0,0.0,CUADERNOS DE ARTE,22.0,2.0,1.0,0.0,True,False,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,0.09090909090909091,1.0,0.3333333333333333,0.0,0.0,0.8701052631578947,0.10522068261937777,0.4,32.89956140350877,0.8701052631578947,0.0,0.24545454545454548,0.5,0.10522068261937777,Veterana,11.215005316321104
Anales de la Universidad de Chile,0365-7779;0717-8883,True,2724,90,2634,0.0222222222222222,0.0,0.0,0.0,0.0,Anales de la Universidad de Chile,6186.0,3800.0,25.0,66.0,True,False,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,0.6142903330100227,0.03303964757709251,0.0074074074074074,0.04725983076585278,-1.2709251101321586,0.15211695906432743,0.0309559484911546,0.4,32.73659844054581,0.15211695906432743,0.0,0.5071451665050113,0.040149739171472645,0.0309559484911546,Básico,11.094631115407433
Cuadernos Médico Sociales,0716-1336;2735-7759,True,349,206,143,0.529126213592233,0.9514563106796116,0.0242718446601941,0.0,0.0,Cuadernos Médico Sociales,350.0,81.0,3.0,1.0,True,False,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,0.23142857142857143,0.5902578796561605,0.5016181229773463,0.029818879797456,-0.0028653295128939827,0.6590209504343383,0.1629759330304212,0.6854368932038835,32.98370379833078,0.6590209504343383,0.0,0.45843273231622744,0.31003837972680826,0.1629759330304212,Veterana,11.250724970124603
Revista AIDIS de Ingeniería y Ciencias Ambientales Investigación desarrollo y práctica,0718-378X,True,441,126,315,0.9365079365079364,0.9365079365079364,0.4285714285714286,0.0,0.626984126984127,Revista AIDIS de Ingeniería y Ciencias Ambientales Investigación desarrollo y práctica,441.0,385.0,5.0,4.0,True,False,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,0.873015873015873,0.2857142857142857,0.7671957671957671,0.03453445328152147,0.0,0.9335973266499583,0.26781172404317805,0.680952380952381,33.11649262043999,0.9335973266499583,0.0,0.776984126984127,0.1601243694979036,0.26781172404317805,Oportunidad,11.35120037230734
Revista Peruana de Derecho Internacional,0035-0370;2663-0222,True,600,230,370,0.4173913043478261,0.9521739130434784,0.0,0.0,0.0,Revista Peruana de Derecho Internacional,612.0,182.0,4.0,1.0,True,True,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,0.2973856209150327,0.38333333333333336,0.45652173913043487,0.035497212375644606,-0.02,0.5472860411899314,0.15257759246321903,0.9856521739130435,32.961155606407324,0.5472860411899314,0.0,0.6415188974140381,0.209415272854489,0.15257759246321903,Veterana,11.270696592225283
Bosque (Valdivia),0304-8799;0717-9200,True,1325,108,1217,0.0,0.0,0.0,0.0,0.0,Bosque (Valdivia),1370.0,8954.0,31.0,308.0,True,False,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,6.535766423357664,0.08150943396226415,0.0,0.042629792689619056,-0.033962264150943396,0.12989473684210529,0.12117963252098005,0.4,32.732894736842105,0.12989473684210529,0.0,3.4678832116788323,0.0620696133259416,0.12117963252098005,Problema,12.087615853948959
0717-9618;2810-6040,0717-9618;2810-6040,False,0,0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,False,False,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,0.0,0.0,0.0,0.0,0.0,0.12989473684210529,0.0,0.0,32.732894736842105,0.12989473684210529,0.0,0.0,0.0,0.0,Básico,10.910964912280702
Revista chilena de literatura,0048-7651;0718-2295,True,931,83,848,0.0,0.0,0.0,0.0,0.0,Revista chilena de literatura,1410.0,1719.0,19.0,34.0,True,True,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,1.2191489361702128,0.08915145005370569,0.0,0.040464355117868084,-0.514500537056928,0.12989473684210529,0.04782742561780009,0.7,32.732894736842105,0.12989473684210529,0.0,0.9595744680851064,0.06480790258578689,0.04782742561780009,Básico,11.252425702504333
Revista de Estudios y Experiencias en Educación,0718-5162,True,546,169,377,0.893491124260355,0.893491124260355,0.8698224852071006,0.893491124260355,0.6331360946745562,Revista de Estudios y Experiencias en Educación,564.0,2330.0,19.0,59.0,True,True,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,4.131205673758865,0.30952380952380953,0.8856015779092702,0.03560936517371753,-0.03296703296703297,0.9766141388975397,0.36380091271438325,0.9680473372781064,33.17569552579674,0.9766141388975397,0.0,2.5496265055184857,0.17256658734876354,0.36380091271438325,Básico,11.965962872887998
Literatura y lingüística,0716-5811;0717-621X,True,1099,129,970,0.9147286821705426,1.0,0.8527131782945736,0.0,0.0,Literatura y lingüística,1141.0,1866.0,16.0,42.0,True,True,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,1.6354075372480281,0.11737943585077343,0.9224806201550386,0.04126995880974795,-0.03821656050955414,0.9553765809873521,0.3348864560340988,1.0,33.19413504691963,0.9553765809873521,0.0,1.317703768624014,0.0793246973302607,0.3348864560340988,Básico,11.530387837624632
Boletín de filología,0067-9674;0718-9303,True,470,96,374,0.0,0.0,0.0,0.0,0.0,Boletín de filología,798.0,1717.0,18.0,41.0,True,True,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,2.1516290726817044,0.20425531914893616,0.0,0.03556155615582247,-0.6978723404255319,0.12989473684210529,0.06887516910504185,0.7,32.732894736842105,0.12989473684210529,0.0,1.425814536340852,0.11990843765237931,0.06887516910504185,Problema,11.426205903611779
Revista de otorrinolaringología y cirugía de cabeza y cuello,0718-4816,True,1074,150,924,0.0,0.0,0.0,0.0,0.0,Revista de otorrinolaringología y cirugía de cabeza y cuello,1111.0,1236.0,11.0,13.0,True,False,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,1.1125112511251125,0.13966480446927373,0.0,0.04097876242507455,-0.03445065176908752,0.12989473684210529,0.04487264437268361,0.4,32.732894736842105,0.12989473684210529,0.0,0.7562556255625563,0.09032178344717415,0.04487264437268361,Básico,11.193157381950613
Revista Chilena de Reumatología,2810-6032,True,106,100,6,0.51,0.86,0.0,0.0,0.08,Revista Chilena de Reumatología/Revista chilena de reumatología,98.0,2.0,1.0,0.0,True,False,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,0.02040816326530612,0.9433962264150944,0.4566666666666667,0.01167546089433188,0.07547169811320754,0.6398947368421053,0.13821216243905118,0.658,32.96122807017544,0.6398947368421053,0.0,0.3392040816326531,0.47753584365471313,0.13821216243905118,Veterana,11.259322665154267
2810-6466,2810-6466,False,0,0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,False,False,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,0.0,0.0,0.0,0.0,0.0,0.12989473684210529,0.0,0.0,32.732894736842105,0.12989473684210529,0.0,0.0,0.0,0.0,Básico,10.910964912280702
Boletin Latinoamericano y del Caribe de plantas Medicinales y Aromaticas,0717-7917,True,343,198,145,0.9090909090909092,0.0,0.8737373737373737,0.0,0.0,Boletin Latinoamericano y del Caribe de plantas Medicinales y Aromaticas,723.0,2334.0,19.0,58.0,True,False,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,3.228215767634855,0.577259475218659,0.5942760942760943,0.029901639730250017,-1.1078717201166182,0.9610143540669855,0.26478963426675245,0.4,33.030032783980154,0.9610143540669855,0.0,1.8141078838174274,0.3035805574744545,0.26478963426675245,Problema,11.715907075090678
Cuadernos info,0719-367X,True,281,17,264,1.0,1.0,0.0,0.0,0.0,Cuadernos de información,26.0,149.0,7.0,5.0,True,True,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,5.730769230769231,0.060498220640569395,0.6666666666666666,0.03347837895591733,0.9074733096085409,0.8701052631578947,0.31440136615412184,1.0,33.06622807017544,0.8701052631578947,0.0,3.3653846153846154,0.04698829979824336,0.09252669039145911,Problema,12.1595336617861
Maderas Ciencia y tecnología,0717-3644;0718-221X,True,926,147,779,0.7959183673469388,0.7959183673469388,0.0748299319727891,0.0,0.3469387755102041,Maderas Ciencia y tecnología,945.0,10261.0,40.0,335.0,True,True,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,10.858201058201058,0.1587473002159827,0.5555555555555556,0.039955763518101824,-0.020518358531317494,0.9258131041890441,0.3150478487045559,0.9387755102040816,33.010672514619884,0.9258131041890441,0.0,5.898488284202569,0.09935153186704226,0.3150478487045559,Problema,13.002837443563166
Autoctonia Revista de Ciencias Sociales e Historia,0719-8213,True,316,132,184,0.5833333333333333,0.0,0.8333333333333333,0.0,0.0,Autoctonia Revista de Ciencias Sociales e Historia,344.0,182.0,7.0,3.0,True,True,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,0.5290697674418605,0.4177215189873418,0.47222222222222215,0.031322134950469954,-0.08860759493670886,0.7132280701754385,0.16714623998852535,0.7,32.96900584795322,0.7132280701754385,0.0,0.6145348837209302,0.22452182696890588,0.16714623998852535,Veterana,11.26935418621435
Revista Confluencia,2735-6027,True,343,154,189,0.9675324675324676,1.0,0.512987012987013,0.0,0.0,Revista Confluencia,341.0,42.0,2.0,0.0,True,False,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,0.12316715542521994,0.4489795918367347,0.8268398268398269,0.03148214443296291,0.0058309037900874635,0.9025727956254271,0.25502109876577583,0.7,33.14631465026202,0.9025727956254271,0.0,0.41158357771260995,0.2402308681348488,0.25502109876577583,Oportunidad,11.266043032036494
Historia (Santiago),0717-7194,True,643,78,565,0.0,0.0,0.0,0.0,0.0,Historia,641.0,1755.0,17.0,49.0,True,True,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,2.7379095163806553,0.12130637636080871,0.0,0.0380315644692191,0.003110419906687403,0.12989473684210529,0.0791115901388802,0.7,32.732894736842105,0.12989473684210529,0.0,1.7189547581903275,0.0796689704150139,0.0791115901388802,Problema,11.51050615514915
Revista de Historia (Concepción),0716-9108;0717-8832,True,8,0,8,0.0,0.0,0.0,0.0,0.0,Revista de Historia (Concepción),325.0,211.0,4.0,3.0,True,True,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,0.6492307692307693,0.0,0.0,0.013183347464017316,-39.625,0.12989473684210529,0.03001853872446387,0.7,32.732894736842105,0.12989473684210529,0.0,0.6746153846153846,0.006591673732008658,0.03001853872446387,Básico,11.138033931729835
Revista Temas Sociológicos,0719-644X;0719-6458,True,542,91,451,0.8571428571428571,1.0,0.8791208791208791,0.0,0.0,Revista Temas Sociológicos,542.0,331.0,6.0,0.0,True,False,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,0.6107011070110702,0.16789667896678967,0.9120879120879121,0.03668209307899339,0.0,0.9870375939849624,0.302226546890371,0.7,33.18893869288606,0.9870375939849624,0.0,0.6553505535055351,0.10228938602289153,0.302226546890371,Oportunidad,11.315526210804828
Revista Inclusiones,0719-4706,True,178,116,62,1.0,0.2844827586206897,0.0517241379310344,0.0,0.0,Revista Inclusiones,2085.0,1388.0,16.0,24.0,True,False,80.0,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,0.6657074340527578,0.651685393258427,0.44540229885057475,0.024858808358349194,-10.713483146067416,0.8701052631578947,0.16423568476584274,0.48534482758620695,32.955595886267396,0.8701052631578947,3.6409569065073493,0.5755261308194823,0.3382721008083881,0.16423568476584274,Veterana,11.289798039298423
Revista de Filosofía,0717-7801;2735-6353,True,166,101,65,1.0,0.99009900990099,0.6930693069306931,0.7227722772277227,0.6435643564356436,Revista de Filosofía,155.0,68.0,3.0,0.0,True,True,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,0.43870967741935485,0.608433734939759,0.8943894389438944,0.02513792845215855,0.06626506024096386,0.8701052631578947,0.2901416309556206,0.9970297029702969,33.18008945631405,0.8701052631578947,0.0,0.7178696901948258,0.3167858316959588,0.2901416309556206,Oportunidad,11.404914992734945
RAN Revistas Academia y Negocios,0719-6245;0719-7713,True,110,73,37,0.8082191780821918,0.0,0.5479452054794521,1.0,0.0,RAN Revistas Academia y Negocios,110.0,183.0,5.0,2.0,True,True,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,1.6636363636363636,0.6636363636363637,0.452054794520548,0.021825516958358313,0.0,0.9381139149242971,0.19439797294964342,0.7,32.95892213410238,0.9381139149242971,0.0,1.1818181818181817,0.342730940297361,0.19439797294964342,Problema,11.494490418739305
2810-6385,2810-6385,False,0,0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,False,False,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,0.0,0.0,0.0,0.0,0.0,0.12989473684210529,0.0,0.0,32.732894736842105,0.12989473684210529,0.0,0.0,0.0,0.0,Básico,10.910964912280702
Journal of the Chilean Chemical Society,0717-9324;0717-9707,True,1806,73,1733,0.0,0.0,0.0,0.0,0.0,Journal of the Chilean Chemical Society,1838.0,17365.0,44.0,563.0,True,False,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,9.447769314472252,0.040420819490586936,0.0,0.04474911694404292,-0.017718715393133997,0.12989473684210529,0.14078330957366883,0.4,32.732894736842105,0.12989473684210529,0.0,4.923884657236126,0.04258496821731493,0.14078330957366883,Problema,12.566454787431846
Observatorio Económico,0719-9597,True,728,104,624,1.0,1.0,0.0,0.0,0.3461538461538462,Observatorio Económico,731.0,201.0,5.0,3.0,True,False,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,0.2749658002735978,0.14285714285714285,0.6666666666666666,0.038626509898418405,-0.004120879120879121,0.8701052631578947,0.21457516129614873,0.7,33.06622807017544,0.8701052631578947,0.0,0.48748290013679885,0.09074182637778062,0.21457516129614873,Básico,11.214817598896673
Revista de la construcción,0718-915X,True,275,0,275,0.0,0.0,0.0,0.0,0.0,Revista de la construcción,368.0,1950.0,20.0,64.0,True,False,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,5.298913043478261,0.0,0.0,0.0337224051943029,-0.3381818181818182,0.12989473684210529,0.11042262514384599,0.4,32.732894736842105,0.12989473684210529,0.0,2.8494565217391306,0.01686120259715145,0.11042262514384599,Problema,11.866404153726128
Revista Chilena de Salud Pública,0717-3652;0719-5281,True,800,63,737,0.8412698412698413,1.0,0.0952380952380952,0.0,0.0,Revista Chilena de Salud Pública,979.0,960.0,12.0,20.0,True,True,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,0.9805924412665986,0.07875,0.6455026455026455,0.039623662947602833,-0.22375,0.9711645781119466,0.23465455441352212,1.0,33.05564605959343,0.9711645781119466,0.0,0.9902962206332993,0.05918683147380142,0.23465455441352212,Básico,11.368376370566843
Intus - Legere Historia,0718-5456;0719-8949,True,8,0,8,0.0,0.0,0.0,0.0,0.0,Intus - Legere Historia,8.0,3.0,1.0,0.0,True,False,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,0.375,0.0,0.0,0.013183347464017316,0.0,0.12989473684210529,0.019107223867112073,0.4,32.732894736842105,0.12989473684210529,0.0,0.3875,0.006591673732008658,0.019107223867112073,Básico,11.042328803524706
Psykhe (Santiago),0718-2228,True,273,12,261,1.0,1.0,0.4166666666666667,0.0,0.0,Psykhe (Santiago),885.0,6655.0,35.0,207.0,True,True,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,7.519774011299435,0.04395604395604396,0.8055555555555555,0.033410067022566575,-2.241758241758242,0.8701052631578947,0.370210055626311,1.0,33.135672514619884,0.8701052631578947,0.0,4.259887005649718,0.03868305548930527,0.370210055626311,Básico,12.478080858586303
REVISTA CUHSO,2452-610X,True,709,596,113,0.9597315436241612,1.0,0.2600671140939597,0.0,0.0,REVISTA CUHSO,720.0,712.0,10.0,13.0,True,True,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,0.9888888888888889,0.840620592383639,0.7399328859060404,0.02841719069036697,-0.015514809590973202,0.9103737195337335,0.2632344339024415,1.0,33.10286117979513,0.9103737195337335,0.0,0.9944444444444445,0.43451889153700296,0.2632344339024415,Oportunidad,11.510608171925526
2810-6458,2810-6458,False,0,0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,False,False,,627.3894736842105,87.01052631578948,65.58947368421053,33.65263157894737,75.61052631578947,0.0,65.46578947368421,0.0,0.0,0.0,0.0,0.0,0.12989473684210529,0.0,0.0,32.732894736842105,0.12989473684210529,0.0,0.0,0.0,0.0,Básico,10.910964912280702
